"filename", "language", "JavaScript React", "JavaScript", "XML", "comment", "blank", "total"
"c:\Users\sad sad\Desktop\React\app\src\index.js", "JavaScript", 0, 26, 0, 8, 10, 44
"c:\Users\sad sad\Desktop\React\app\src\layout\Layout.js", "JavaScript", 0, 18, 0, 1, 9, 28
"c:\Users\sad sad\Desktop\React\app\src\store\actions\actionTypes.jsx", "JavaScript React", 23, 0, 0, 0, 7, 30
"c:\Users\sad sad\Desktop\React\app\src\store\actions\authActions.jsx", "JavaScript React", 117, 0, 0, 8, 13, 138
"c:\Users\sad sad\Desktop\React\app\src\store\actions\index.jsx", "JavaScript React", 2, 0, 0, 0, 2, 4
"c:\Users\sad sad\Desktop\React\app\src\store\actions\jobActions.jsx", "JavaScript React", 75, 0, 0, 3, 7, 85
"c:\Users\sad sad\Desktop\React\app\src\store\index.jsx", "JavaScript React", 27, 0, 0, 1, 4, 32
"c:\Users\sad sad\Desktop\React\app\src\store\reducers\authReducer.jsx", "JavaScript React", 99, 0, 0, 6, 19, 124
"c:\Users\sad sad\Desktop\React\app\src\store\reducers\index.jsx", "JavaScript React", 12, 0, 0, 0, 3, 15
"c:\Users\sad sad\Desktop\React\app\src\store\reducers\jobReducer.jsx", "JavaScript React", 39, 0, 0, 1, 10, 50
"Total", "-", 394, 4006, 470, 224, 484, 5578
